Date,Sales
2020-01-31,200
2020-02-29,210
2020-03-31,220
2020-04-30,230
2020-05-31,250
2020-06-30,260
2020-07-31,270
2020-08-31,280
2020-09-30,300
2020-10-31,320
2020-11-30,310
2020-12-31,330
2021-01-31,340
2021-02-28,350
2021-03-31,360
2021-04-30,370
2021-05-31,390
2021-06-30,400
2021-07-31,410
2021-08-31,420
2021-09-30,440
2021-10-31,460
2021-11-30,450
2021-12-31,470
2022-01-31,480
2022-02-28,500
2022-03-31,490
2022-04-30,510
2022-05-31,530
2022-06-30,540
2022-07-31,550
2022-08-31,560
2022-09-30,580
2022-10-31,600
2022-11-30,590
2022-12-31,610
